"seq_id","COG","COG_categories","description"
"211108-DFI.6.78","COG0548@2","E","Belongs to the acetylglutamate kinase family. ArgB subfamily"
"211108-DFI.6.78","COG1364@2","E","Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate"
"211108-DFI.6.78","COG0002@2","E","Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde"
"211108-DFI.6.78","2ZB8F@2","S","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0137@2","E","Belongs to the argininosuccinate synthase family. Type 1 subfamily"
"211108-DFI.6.78","30AHI@2","S","Domain of unknown function (DUF4160)"
"211108-DFI.6.78","COG1396@2","K","Helix-turn-helix XRE-family like proteins"
"211108-DFI.6.78","COG1961@2","L","Domain of unknown function (DUF4368)"
"211108-DFI.6.78","COG1196@2","D","COG NOG17369 non supervised orthologous group"
"211108-DFI.6.78","COG0698@2","G","Ribose 5-phosphate isomerase"
"211108-DFI.6.78","COG1396@2","K","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG1820@2","G","Belongs to the metallo-dependent hydrolases superfamily. NagA family"
"211108-DFI.6.78","COG1737@2","K","Helix-turn-helix domain, rpiR family"
"211108-DFI.6.78","COG3010@2","G","Converts N-acetylmannosamine-6-phosphate (ManNAc-6-P) to N-acetylglucosamine-6-phosphate (GlcNAc-6-P)"
"211108-DFI.6.78","COG0363@2","G","Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion"
"211108-DFI.6.78","COG0180@2","J","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG1555@2","L","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG0481@2","M","Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner"
"211108-DFI.6.78","COG0547@2","F","Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA)"
"211108-DFI.6.78","COG0860@2","M","stage II sporulation protein P"
"211108-DFI.6.78","COG0680@2","C","Initiates the rapid degradation of small, acid-soluble proteins during spore germination"
"211108-DFI.6.78","COG2264@2","J","Ribosomal protein L11 methyltransferase"
"211108-DFI.6.78","COG0484@2","O","ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins"
"211108-DFI.6.78","COG0443@2","O","Heat shock 70 kDa protein"
"211108-DFI.6.78","COG0576@2","O","Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ"
"211108-DFI.6.78","COG1420@2","K","Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons"
"211108-DFI.6.78","COG0635@2","H","Involved in the biosynthesis of porphyrin-containing compound"
"211108-DFI.6.78","COG0268@2","J","Binds directly to 16S ribosomal RNA"
"211108-DFI.6.78","COG1520@2","M","Cadherin-like beta sandwich domain"
"211108-DFI.6.78","COG5492@2","M","Cadherin-like beta sandwich domain"
"211108-DFI.6.78","COG2340@2","N","Cysteine-rich secretory protein family"
"211108-DFI.6.78","COG2207@2","K","Bacterial transcription activator, effector binding domain"
"211108-DFI.6.78","COG3708@2","K","Bacterial transcription activator, effector binding domain"
"211108-DFI.6.78","COG2207@2","K","Bacterial transcription activator, effector binding domain"
"211108-DFI.6.78","COG3708@2","K","Bacterial transcription activator, effector binding domain"
"211108-DFI.6.78","COG1186@2","J","Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA"
"211108-DFI.6.78","COG0653@2","U","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane"
"211108-DFI.6.78","COG1544@2","J","Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase"
"211108-DFI.6.78","COG0597@2","MU","This protein specifically catalyzes the removal of signal peptides from prolipoproteins"
"211108-DFI.6.78","COG1116@2","P","ABC-type nitrate sulfonate bicarbonate transport system, ATPase component"
"211108-DFI.6.78","COG0600@2","P","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG3641@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG3210@2","U","Leucine rich repeats (6 copies)"
"211108-DFI.6.78","COG5492@2","U","Leucine rich repeats (6 copies)"
"211108-DFI.6.78","COG2339@2","S","Protease prsW family"
"211108-DFI.6.78","32TDR@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG1595@2","K","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG1106@2","S","AAA ATPase domain"
"211108-DFI.6.78","32RY0@2","S","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG1595@2","K","Belongs to the sigma-70 factor family"
"211108-DFI.6.78","COG0675@2","L","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG1943@2","L","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG0013@2","J","Threonyl and Alanyl tRNA synthetase second additional domain"
"211108-DFI.6.78","COG0663@2","S","Bacterial transferase hexapeptide repeat protein"
"211108-DFI.6.78","COG2176@2","L","Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity"
"211108-DFI.6.78","COG3976@2","S","FMN-binding domain protein"
"211108-DFI.6.78","COG0171@2","H","Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source"
"211108-DFI.6.78","COG0388@2","H","Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source"
"211108-DFI.6.78","COG0568@2","K","Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth"
"211108-DFI.6.78","COG0393@2","S","Belongs to the UPF0145 family"
"211108-DFI.6.78","COG0498@2","E","Threonine synthase"
"211108-DFI.6.78","COG1668@2","CP","transmembrane transport"
"211108-DFI.6.78","COG1131@2","V","ATPase activity"
"211108-DFI.6.78","COG1187@2","J","Belongs to the pseudouridine synthase RsuA family"
"211108-DFI.6.78","COG2205@2","T","PhoQ Sensor"
"211108-DFI.6.78","COG0745@2","K","COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"211108-DFI.6.78","COG1897@2","E","Transfers an acetyl group from acetyl-CoA to L- homoserine, forming acetyl-L-homoserine"
"211108-DFI.6.78","COG0272@2","L","DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA"
"211108-DFI.6.78","COG0524@2","G","PfkB family"
"211108-DFI.6.78","COG1609@2","K","Periplasmic binding protein LacI transcriptional regulator"
"211108-DFI.6.78","COG0539@2","J","Ribosomal protein S1-like RNA-binding domain"
"211108-DFI.6.78","COG4942@2","D","PD-(D/E)XK nuclease family transposase"
"211108-DFI.6.78","COG0675@2","L","transposase, IS605 OrfB family"
"211108-DFI.6.78","COG1943@2","L","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG0239@2","D","Important for reducing fluoride concentration in the cell, thus reducing its toxicity"
"211108-DFI.6.78","COG1115@2","E","amino acid carrier protein"
"211108-DFI.6.78","COG1063@2","C","Catalyzes the NADPH dependent reduction of D-ribulose 5- phosphate to D-ribitol 5-phosphate"
"211108-DFI.6.78","COG1211@2","I","Catalyzes the transfer of the cytidylyl group of CTP to D-ribitol 5-phosphate"
"211108-DFI.6.78","COG2323@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG0674@2","C","Pyruvate flavodoxin ferredoxin oxidoreductase, thiamine diP-binding domain protein"
"211108-DFI.6.78","COG1013@2","C","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG1610@2","S","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0495@2","J","Belongs to the class-I aminoacyl-tRNA synthetase family"
"211108-DFI.6.78","COG1376@2","V","L,D-transpeptidase catalytic domain"
"211108-DFI.6.78","COG0346@2","E","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"
"211108-DFI.6.78","COG5009@2","M","Psort location Extracellular, score 9.55"
"211108-DFI.6.78","315MJ@2","S","Stage V sporulation protein AE"
"211108-DFI.6.78","COG0332@2","I","Stage V sporulation protein AD (SpoVAD)"
"211108-DFI.6.78","COG0101@2","J","Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs"
"211108-DFI.6.78","31DDD@2","S","stage V sporulation protein AC"
"211108-DFI.6.78","3152T@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","2ZCB6@2","S","Stage V sporulation protein AA"
"211108-DFI.6.78","COG1191@2","K","Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released"
"211108-DFI.6.78","COG0637@2","H","Phosphomethylpyrimidine kinase"
"211108-DFI.6.78","COG1209@2","M","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0691@2","O","the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA"
"211108-DFI.6.78","COG0528@2","F","Catalyzes the reversible phosphorylation of UMP to UDP"
"211108-DFI.6.78","COG0233@2","J","Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another"
"211108-DFI.6.78","336UH@2","K","Cro/C1-type HTH DNA-binding domain"
"211108-DFI.6.78","COG0743@2","I","Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP)"
"211108-DFI.6.78","COG0750@2","M","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG0821@2","I","Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate"
"211108-DFI.6.78","COG3857@2","L","ATP-dependent helicase deoxyribonuclease subunit B"
"211108-DFI.6.78","COG1074@2","L","ATP-dependent helicase nuclease subunit A"
"211108-DFI.6.78","COG1196@2","L","AAA domain"
"211108-DFI.6.78","COG0270@2","H","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0270@2","L","DNA (cytosine-5-)-methyltransferase activity"
"211108-DFI.6.78","COG0497@2","L","DNA recombination"
"211108-DFI.6.78","COG0420@2","L","Calcineurin-like phosphoesterase superfamily domain"
"211108-DFI.6.78","COG1061@2","L","Type III restriction protein res subunit"
"211108-DFI.6.78","COG1241@2","L","DNA primase activity"
"211108-DFI.6.78","COG1467@2","L","DNA primase activity"
"211108-DFI.6.78","COG0749@2","L","In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity"
"211108-DFI.6.78","2ZAXN@2","S","Terminase-like family"
"211108-DFI.6.78","2Z7Z6@2","S","Phage portal protein, SPP1 Gp6-like"
"211108-DFI.6.78","COG2369@2","S","Phage Mu protein F like protein"
"211108-DFI.6.78","2Z7JY@2","S","Phage major capsid protein E"
"211108-DFI.6.78","339GM@2","S","Bacteriophage HK97-gp10, putative tail-component"
"211108-DFI.6.78","2Z8I6@2","S","Phage tail sheath C-terminal domain"
"211108-DFI.6.78","300T3@2","S","Phage tail tube protein"
"211108-DFI.6.78","COG5283@2","S","Phage-related minor tail protein"
"211108-DFI.6.78","COG5412@2","S","Phage-related minor tail protein"
"211108-DFI.6.78","COG1652@2","S","Lysin motif"
"211108-DFI.6.78","COG0791@2","M","3D domain"
"211108-DFI.6.78","COG3584@2","M","3D domain"
"211108-DFI.6.78","COG3299@2","S","Baseplate J-like protein"
"211108-DFI.6.78","COG3778@2","S","Uncharacterised protein conserved in bacteria (DUF2313)"
"211108-DFI.6.78","COG1262@2","T","PFAM Formylglycine-generating sulfatase enzyme"
"211108-DFI.6.78","32RM0@2","S","23S rRNA-intervening sequence protein"
"211108-DFI.6.78","COG3344@2","L","Reverse transcriptase (RNA-dependent DNA polymerase)"
"211108-DFI.6.78","COG1388@2","M","COG COG3757 Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"
"211108-DFI.6.78","COG3757@2","M","COG COG3757 Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"
"211108-DFI.6.78","COG0582@2","L","Belongs to the 'phage' integrase family"
"211108-DFI.6.78","COG1396@2","K","Helix-turn-helix XRE-family like proteins"
"211108-DFI.6.78","COG4976@2","S","COG0500 SAM-dependent methyltransferases"
"211108-DFI.6.78","COG1281@2","O","Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress"
"211108-DFI.6.78","COG0438@2","M","Stealth protein CR2, conserved region 2"
"211108-DFI.6.78","COG0207@2","F","Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis"
"211108-DFI.6.78","COG0468@2","L","Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage"
"211108-DFI.6.78","COG2137@2","S","Modulates RecA activity"
"211108-DFI.6.78","COG1418@2","S","Endoribonuclease that initiates mRNA decay"
"211108-DFI.6.78","COG1319@2","C","FAD binding domain in molybdopterin dehydrogenase"
"211108-DFI.6.78","COG2080@2","C","[2Fe-2S] binding domain"
"211108-DFI.6.78","COG2145@2","H","Catalyzes the phosphorylation of the hydroxyl group of 4-methyl-5-beta-hydroxyethylthiazole (THZ)"
"211108-DFI.6.78","COG1529@2","C","Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
"211108-DFI.6.78","COG2068@2","S","MobA-like NTP transferase domain"
"211108-DFI.6.78","COG0503@2","F","Converts the preformed base xanthine, a product of nucleic acid breakdown, to xanthosine 5'-monophosphate (XMP), so it can be reused for RNA or DNA synthesis"
"211108-DFI.6.78","COG1763@2","H","selenium-dependent hydroxylase accessory protein YqeC"
"211108-DFI.6.78","COG3608@2","S","Selenium-dependent molybdenum hydroxylase system protein, YqeB family"
"211108-DFI.6.78","COG0428@2","P","Metal cation transporter, ZIP family"
"211108-DFI.6.78","COG0352@2","H","Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)"
"211108-DFI.6.78","COG0351@2","H","Phosphomethylpyrimidine kinase"
"211108-DFI.6.78","COG0637@2","H","Phosphomethylpyrimidine kinase"
"211108-DFI.6.78","COG0351@2","H","Phosphomethylpyrimidine kinase"
"211108-DFI.6.78","COG1595@2","K","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG4932@2","M","Psort location Cellwall, score"
"211108-DFI.6.78","2Z8BZ@2","S","Replication initiator protein A"
"211108-DFI.6.78","2ZXR7@2","S","Protein of unknown function (DUF3801)"
"211108-DFI.6.78","COG3505@2","U","Type IV secretory system Conjugative DNA transfer"
"211108-DFI.6.78","32RXK@2","S","Maff2 family"
"211108-DFI.6.78","2Z81B@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG3451@2","U","PrgI family protein"
"211108-DFI.6.78","COG3451@2","U","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0791@2","M","NlpC p60 family protein"
"211108-DFI.6.78","COG3064@2","M","NlpC p60 family protein"
"211108-DFI.6.78","COG3584@2","M","NlpC p60 family protein"
"211108-DFI.6.78","33VBH@2","S","Domain of unknown function (DUF4315)"
"211108-DFI.6.78","COG0550@2","G","Bacterial DNA topoisomerase I DNA-binding domain"
"211108-DFI.6.78","COG0553@2","L","helicase C-terminal domain protein"
"211108-DFI.6.78","COG0827@2","L","helicase C-terminal domain protein"
"211108-DFI.6.78","COG3170@2","L","helicase C-terminal domain protein"
"211108-DFI.6.78","COG4646@2","L","helicase C-terminal domain protein"
"211108-DFI.6.78","COG1396@2","K","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG1669@2","L","Protein of unknown function (DUF3849)"
"211108-DFI.6.78","COG2003@2","L","Protein of unknown function (DUF3849)"
"211108-DFI.6.78","COG4227@2","L","Protein of unknown function (DUF3849)"
"211108-DFI.6.78","COG4734@2","L","Protein of unknown function (DUF3849)"
"211108-DFI.6.78","32XC6@2","S","Putative tranposon-transfer assisting protein"
"211108-DFI.6.78","COG2003@2","L","Domain of unknown function (DUF4316)"
"211108-DFI.6.78","COG4734@2","L","Domain of unknown function (DUF4316)"
"211108-DFI.6.78","COG3843@2","U","Psort location Cytoplasmic, score"
"211108-DFI.6.78","31RJ6@2","S","Bacterial mobilisation protein (MobC)"
"211108-DFI.6.78","COG1961@2","L","Resolvase, N terminal domain"
"211108-DFI.6.78","COG1961@2","L","Psort location Cytoplasmic, score 7.50"
"211108-DFI.6.78","COG1961@2","L","Resolvase, N terminal domain"
"211108-DFI.6.78","COG1961@2","L","Resolvase, N terminal domain"
"211108-DFI.6.78","COG1396@2","K","Helix-turn-helix XRE-family like proteins"
"211108-DFI.6.78","COG4942@2","D","PD-(D/E)XK nuclease family transposase"
"211108-DFI.6.78","COG3655@2","K","Cro/C1-type HTH DNA-binding domain"
"211108-DFI.6.78","2Z80J@2","S","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG4249@2","S","Caspase domain"
"211108-DFI.6.78","COG1396@2","K","Helix-turn-helix XRE-family like proteins"
"211108-DFI.6.78","COG3598@2","L","AAA domain"
"211108-DFI.6.78","COG1961@2","L","Resolvase, N terminal domain"
"211108-DFI.6.78","COG1961@2","L","COG1961 Site-specific recombinases, DNA invertase Pin homologs"
"211108-DFI.6.78","COG1035@2","C","Coenzyme F420-reducing hydrogenase beta subunit"
"211108-DFI.6.78","COG1209@2","M","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG0270@2","H","C-5 cytosine-specific DNA methylase"
"211108-DFI.6.78","COG0323@2","T","Histidine kinase"
"211108-DFI.6.78","COG4191@2","T","Histidine kinase"
"211108-DFI.6.78","COG3279@2","KT","phosphorelay signal transduction system"
"211108-DFI.6.78","COG0494@2","L","NUDIX domain"
"211108-DFI.6.78","COG2207@2","K","AraC-like ligand binding domain"
"211108-DFI.6.78","COG1089@2","M","Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose"
"211108-DFI.6.78","COG0451@2","GM","Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction"
"211108-DFI.6.78","COG0836@2","GM","Mannose-6-phosphate isomerase"
"211108-DFI.6.78","COG1917@2","GM","Mannose-6-phosphate isomerase"
"211108-DFI.6.78","COG1109@2","G","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
"211108-DFI.6.78","2ZC29@2","S","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG0438@2","M","Glycosyltransferase Family 4"
"211108-DFI.6.78","COG4267@2","S","Putative exopolysaccharide Exporter (EPS-E)"
"211108-DFI.6.78","COG0438@2","M","Glycosyl transferases group 1"
"211108-DFI.6.78","COG1216@2","S","Glycosyl transferase family 2"
"211108-DFI.6.78","2ZBJM@2","S","Domain of unknown function (DUF4832)"
"211108-DFI.6.78","2Z8UY@2","S","Domain of unknown function (DUF4832)"
"211108-DFI.6.78","COG2244@2","S","Psort location CytoplasmicMembrane, score 9.99"
"211108-DFI.6.78","COG2199@2","T","diguanylate cyclase"
"211108-DFI.6.78","COG0346@2","E","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG0463@2","M","Glycosyltransferase like family 2"
"211108-DFI.6.78","COG2244@2","S","Uncharacterised nucleotidyltransferase"
"211108-DFI.6.78","COG0681@2","U","Psort location Cytoplasmic, score 8.87"
"211108-DFI.6.78","COG1132@2","V","ABC transporter transmembrane region"
"211108-DFI.6.78","COG0352@2","H","Psort location Cytoplasmic, score"
"211108-DFI.6.78","2ZC46@2","S","Coenzyme PQQ synthesis protein D (PqqD)"
"211108-DFI.6.78","COG1109@2","G","Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate"
"211108-DFI.6.78","COG1087@2","M","UDP-glucose 4-epimerase"
"211108-DFI.6.78","COG5635@2","T","Nacht domain"
"211108-DFI.6.78","COG1106@2","S","AAA domain, putative AbiEii toxin, Type IV TA system"
"211108-DFI.6.78","COG1672@2","S","PD-(D/E)XK nuclease superfamily"
"211108-DFI.6.78","33FK0@2","S","Domain of unknown function (DUF3783)"
"211108-DFI.6.78","COG1443@2","I","NUDIX domain"
"211108-DFI.6.78","318PT@2","S","Psort location Cytoplasmic, score"
"211108-DFI.6.78","COG1063@2","C","Psort location Cytoplasmic, score"
"211108-DFI.6.78","2Z7T7@2","S","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG0784@2","T","PhoQ Sensor"
"211108-DFI.6.78","COG2205@2","T","PhoQ Sensor"
"211108-DFI.6.78","COG0737@2","P","Bacterial extracellular solute-binding protein"
"211108-DFI.6.78","COG1653@2","P","Bacterial extracellular solute-binding protein"
"211108-DFI.6.78","COG1108@2","P","ABC 3 transport family"
"211108-DFI.6.78","COG0456@2","K","Acetyltransferase (GNAT) domain"
"211108-DFI.6.78","2Z7S1@2","G","Streptomycin adenylyltransferase"
"211108-DFI.6.78","COG1396@2","K","Helix-turn-helix XRE-family like proteins"
"211108-DFI.6.78","COG5279@2","D","Transglutaminase-like superfamily"
"211108-DFI.6.78","COG4905@2","S","Putative ABC-transporter type IV"
"211108-DFI.6.78","COG1126@2","E","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG0765@2","P","ABC transporter, permease protein"
"211108-DFI.6.78","COG0834@2","ET","Belongs to the bacterial solute-binding protein 3 family"
"211108-DFI.6.78","COG0697@2","EG","Psort location CytoplasmicMembrane, score"
"211108-DFI.6.78","COG0165@2","E","argininosuccinate lyase"
"211108-DFI.6.78","COG0733@2","S","Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family"
