accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_946414675.1	0	83.18	1.06	Specific	80.73	1.61	278	k__Bacteria (UID2569)	186	66.67	2175731	90.07981080900926	144	1295291	53.627754636309554	2415337	GB_GCA_900317125.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1711;s__UBA1711 sp900317125	not type material	none	f	31	31	73417	73417	none	0	none	none	none	0	none	none	none	none	none	none	none	none	16773	16773	f	f	t	24896	24896	Contig	SRR12081297_bin.28_metaWRAP_v1.3_MAG	na	PRJEB54748	SAMEA110643393	144	24896	none	2022-09-12	GCA_946414675.1	derived from metagenome	full	SRR12081297_bin.28_metaWRAP_v1.3_MAG	sheep gut metagenome	none	0	none	uncultured Bacteroidales bacterium	none	na	none	none	none	none	none	none	2022/09/12	0	194843	none	SRR12081297_bin.28_metaWRAP_v1.3_MAG	EMG	194843	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;x__environmental samples;s__uncultured Bacteroidales bacterium	0	2415337	none	none	na	2415337	0	CAMKPM000000000.1	2064	144	49498	1	none	none	none	none	none	none	922	CAMKPM010000007.1	921	1090	0	88.165	AB506565.1.1518	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;uncultured bacterium	0	11	25	0
GB_GCA_900752545.1	0	89.5	0.2	Specific	95.7	1.91	211	p__Actinobacteria (UID2112)	124	0.0	1728787	87.38304317476589	98	1186486	59.971967260429004	1978401	GB_GCA_900752545.1	t	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900752545	not type material	none	f	19	19	103958	103958	none	0	none	none	none	0	none	none	none	none	none	none	none	none	20187	20187	f	f	t	31147	31147	Contig	ERS235626_26	na	PRJEB31003	SAMEA5278758	98	31147	none	2020-06-26	GCA_900752545.1	derived from metagenome	full	HGM04271	human stool	none	0	none	uncultured Collinsella sp.	none	na	none	none	none	none	none	none	2020/06/26	0	165190	none	HGM04271	DOE JGI	165190	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;x__environmental samples;s__uncultured Collinsella sp.	0	1978401	none	none	na	1978401	0	CAADVS000000000.1	1736	98	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	56	1
GB_GCA_946535875.1	0	92.97	0.0	General	92.28	0.0	263	o__Clostridiales (UID1212)	149	0.0	1777980	93.94805005405509	125	838635	44.31327852792635	1892514	GB_GCA_017543415.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp017543415	not type material	none	f	25	25	58329	58329	none	0	none	none	none	0	none	none	none	none	none	none	none	none	15140	15140	f	f	t	26742	26742	Contig	SRR1206671_bin.87_metaWRAP_v1.3_MAG	na	PRJEB22623	SAMEA110744555	125	26742	none	2022-09-13	GCA_946535875.1	derived from metagenome	full	SRR1206671_bin.87_metaWRAP_v1.3_MAG	sheep gut metagenome	none	0	none	uncultured Clostridia bacterium	none	na	none	none	none	none	none	none	2022/09/13	0	244328	none	SRR1206671_bin.87_metaWRAP_v1.3_MAG	EMBL-EBI	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__environmental samples;s__uncultured Clostridia bacterium	0	1892514	none	none	na	1892514	0	CAMNDU000000000.1	1749	125	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	13	28	0
GB_GCA_948649485.1	0	88.7	1.75	General	88.65	0.59	223	c__Clostridia (UID1118)	124	33.33	1269094	91.51906794480995	240	677240	48.84462455977884	1386699	GB_GCA_948677005.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Coproplasma;s__Coproplasma sp013316055	not type material	none	f	56	55	24536	24536	none	0	none	none	12605	1	110	CAPKYO010000024.1	none	none	none	none	none	none	5777	6003	f	f	t	7914	7984	Scaffold	MGBC158110	na	PRJEB59335	SAMEA112428310	240	7914	none	2023-03-11	GCA_948649485.1	derived from metagenome	full	MGBC158110	Faeces	none	0	none	Candidatus Borkfalkiaceae bacterium	none	na	none	231	55	7984	4719	2960	2023/03/11	9	2793040	none	MGBC158110	UNIVERSITY OF CAMBRIDGE	2793040	d__Bacteria;p__Bacillota;c__Clostridia;o__Candidatus Borkfalkiales;f__Candidatus Borkfalkiaceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Candidatus Borkfalkiales;f__Candidatus Borkfalkiaceae;x__unclassified Candidatus Borkfalkiaceae;s__Candidatus Borkfalkiaceae bacterium	180	1386699	none	none	na	1386519	0	CAPKYO000000000.1	1415	231	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	180	9	18	0
GB_GCA_905236445.1	0	89.44	3.17	General	87.37	3.15	149	k__Bacteria (UID2329)	89	0.0	799362	88.6490742640413	153	300924	33.37240702439241	901715	GB_GCA_905236445.1	t	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA11490;s__UBA11490 sp905236445	not type material	none	f	41	41	26275	26275	none	0	none	none	none	0	none	none	none	none	none	none	none	none	5893	5893	f	f	t	7361	7361	Contig	RUG30368	na	PRJEB34458	SAMEA8030477	153	7361	none	2021-03-17	GCA_905236445.1	derived from metagenome	full	Rumen_Coassembly_mag_626	metagenome	none	0	none	uncultured Clostridia bacterium	none	na	none	none	none	none	none	none	2021/03/17	0	244328	none	Rumen_Coassembly_mag_626	THE ROSLIN INSTITUTE	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__environmental samples;s__uncultured Clostridia bacterium	0	901715	none	none	na	901715	0	CAJOPQ000000000.1	934	153	2272	1	none	none	none	none	none	none	201	CAJOPQ010000085.1	200	291	3.11e-77	93	AB824602.1.1537	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;uncultured bacterium	0	11	14	0
GB_GCA_944388605.1	0	97.9	1.63	General	76.67	0.02	263	o__Clostridiales (UID1212)	149	0.0	1135177	86.85243814545782	38	343844	26.307518335631187	1307018	GB_GCA_944388605.1	t	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CALXJJ01;s__CALXJJ01 sp944388605	not type material	none	f	9	9	100614	100614	none	0	none	none	2776	1	109	CALXJJ010000038.1	none	none	none	none	none	none	34395	34395	f	f	t	57322	57322	Contig	BRZ_DI__bin71	na	PRJEB53581	SAMEA110136011	38	57322	none	2022-06-30	GCA_944388605.1	derived from metagenome	full	BRZ_DI__bin71	chicken caecal content	none	0	none	uncultured Clostridia bacterium	none	na	none	none	none	none	none	none	2022/06/30	0	244328	none	BRZ_DI__bin71	Institut National pour la Recherche Agronomique (FRANCE)	244328	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;x__environmental samples;s__uncultured Clostridia bacterium	0	1307018	none	none	na	1307018	0	CALXJJ000000000.1	1280	38	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	14	25	0
GB_GCA_026169035.1	0	87.95	0.58	Specific	94.84	0.54	274	o__Clostridiales (UID1226)	157	33.33	2434464	89.8881117383536	222	1052140	38.848336999188064	2708327	GB_GCA_900539145.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900539145	not type material	none	f	38	38	95983	95983	1251	2	1250	JAPFDZ010000197.1	none	0	none	none	1250	2193	0	98.32	ACTV01000013.64.2945	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Lachnospiraceae bacterium 6_1_63FAA	12199	12199	f	f	t	23321	23321	Contig	ASM2616903v1	na	PRJNA893230	SAMN31537003	222	23321	USA: CA	2022-11-14	GCA_026169035.1	derived from metagenome	full	bin_13_LilbubCat	feces of cat named Lilbub from private home	37.8044 N 122.2712 W	0	none	Blautia sp.	none	na	none	none	none	none	none	none	2022/11/14	0	1955243	none	bin_13_LilbubCat	AnimalBiome	1955243	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;x__unclassified Blautia;s__Blautia sp.	0	2708327	none	none	na	2708327	0	JAPFDZ000000000.1	2619	222	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	17	37	0
GB_GCA_021298755.1	0	100.0	2.22	General	97.04	0.99	303	p__Bacteroidetes (UID2591)	203	50.0	2933604	91.48828876029734	192	1405083	43.81935640808536	3206535	GB_GCA_020403455.1	f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp020403455	not type material	none	f	35	35	109545	109545	none	0	none	none	none	0	none	none	none	none	none	none	none	none	16700	16700	f	f	t	27262	27262	Contig	ASM2129875v1	na	PRJNA464361	SAMN23604897	192	27262	USA: Ohio; western Lake Erie	2021-12-27	GCA_021298755.1	derived from metagenome	full	CoA8_M65	Phytoplankton seston > 100 micron diameter	none	0	0	Sediminibacterium sp.	none	na	1	none	none	none	none	none	2021/12/27	0	1917865	1	CoA8_M65	University of Michigan	1917865	d__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;x__unclassified Sediminibacterium;s__Sediminibacterium sp.	0	3206535	11	35	na	3206535	0	JAJTHQ000000000.1	2999	192	12051	1	none	none	none	none	none	none	1477	JAJTHQ010000034.1	1474	2643	0	99.05	JF830213.1.1499	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;bacterium enrichment culture clone B75(2011)	0	19	34	0
RS_GCF_900591425.1	21	100.0	1.38	Specific	99.94	0.0	1006	g__Burkholderia (UID4007)	297	0.0	5986579	83.90351888382392	78	4862429	68.14897941821715	7135075	RS_GCF_000011705.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia mallei	not type material	none	f	12	12	415583	415583	415583	1	2877	NZ_UUQW01000001.1	415583	1	108	NZ_UUQW01000001.1	2877	5313	0	100	CP009538.1945309.1948187	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;Burkholderia pseudomallei K96243	91474	93882	t	f	f	228195	229001	Scaffold	10209_8#23	na	PRJNA224116	SAMEA2067837	78	228195	none	2018-11-01	GCA_900591425.1	none	full	na	NA	none	0	1	Burkholderia pseudomallei	none	na	3	76	12	229001	115451	71303	2018/11/01	2	28450	1	HBPUB10029A	SC	28450	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;x__pseudomallei group;s__Burkholderia pseudomallei	55	7135075	11	55	na	7135020	0	UUQW00000000.1	5934	76	415583	1	none	none	none	none	none	none	1528	NZ_UUQW01000001.1	1528	2822	0	100	CP012094.3771753.3773290	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;Burkholderia pseudomallei	55	19	56	1
RS_GCF_022493895.1	0	100.0	0.69	Specific	99.67	0.04	1173	f__Enterobacteriaceae (UID5124)	336	0.0	4309522	88.05029107833116	1	2479414	50.658315331419445	4894387	RS_GCF_003697165.2	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	not type material	none	f	1	1	4894387	4894387	4894387	7	2902	NZ_CP029327.1	4894387	7	356	NZ_CP029327.1-#7	2902	5337	0	99.862	AYHK01000019.213252.216154	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli UMEA 3693-1	4894387	4894387	t	f	f	4894387	4894387	Complete Genome	ASM2249389v1	na	PRJNA224116	SAMN04100060	none	none	Australia	2022-03-07	GCA_022493895.1	none	full	na	feces	none	1	2	Escherichia coli	none	na	22	1	1	4894387	4894387	4894387	2022/03/07	0	562	7	A37	Beijing Institute of Genomics, CAS	562	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	0	4894387	11	89	na	4894387	0	na	4517	1	4894387	7	none	none	none	none	none	none	1539	NZ_CP029327.1-#2	1539	2843	0	100	CP032265.1878342.1879895	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli	0	19	89	1
RS_GCF_000022265.1	0	100.0	0.34	Specific	99.35	0.0	247	c__Deltaproteobacteria (UID3216)	155	0.0	3884123	90.23398995609479	1	2301702	53.47198200209502	4304501	RS_GCF_000022265.1	t	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotalea daltonii	type strain of species	LPSN	f	1	1	4304501	4304501	4304501	2	2954	NC_011979.1	4304501	2	110	NC_011979.1	2954	5456	0	100	CP001390.2113983.2116940	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter;Geobacter daltonii FRC-32	4304501	4304501	t	f	f	4304501	4304501	Complete Genome	ASM2226v1	na	PRJNA224116	SAMN00623045	none	none	none	2009-01-27	GCA_000022265.1	none	full	na	none	none	1	1	Geotalea daltonii FRC-32	3820	representative genome	6	1	1	4304501	4304501	4304501	2009/01/27	0	1203471	2	FRC-32	US DOE Joint Genome Institute	316067	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotalea daltonii	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea;s__Geotalea daltonii;x__Geotalea daltonii FRC-32	0	4304501	11	49	assembly from type material	4304501	0	na	3834	1	4304501	2	none	none	none	none	none	none	1553	NC_011979.1	1553	2868	0	100	CP001390.2111700.2113255	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea;Geobacter daltonii FRC-32	0	19	49	1
RS_GCF_026650925.1	0	100.0	1.03	Specific	98.58	3.42	404	g__Clostridium (UID1380)	145	0.0	4111972	83.37473712042136	8	1525205	30.92520229460518	4931916	RS_GCF_001877035.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;s__Clostridium_AD estertheticum	not type material	none	f	1	1	4494196	4494196	4494196	16	2935	NZ_CP086147.1	4494196	16	348	NZ_CP086147.1-#16	2935	5409	0	99.932	CP015756.4593193.4596139	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium estertheticum	616489	616489	t	f	f	4494196	4494196	Complete Genome	ASM2665092v1	na	PRJNA224116	SAMN22045401	none	none	Switzerland:Zurich	2022-12-05	GCA_026650925.1	none	full	na	meat	none	8	1	Clostridium estertheticum	none	na	51	8	1	4494196	4494196	4494196	2022/12/05	0	238834	17	CM034	University of Zurich	238834	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium estertheticum	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium estertheticum	0	4931916	11	91	na	4931916	0	na	4613	8	4494196	17	none	none	none	none	none	none	1516	NZ_CP086147.1	1516	2769	0	99.67	CP015756.67748.69267	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;Clostridium estertheticum	0	19	90	0
RS_GCF_000348785.1	0	99.99	0.4	Specific	99.15	1.71	171	k__Bacteria (UID1453)	117	0.0	4462526	92.38838047683927	1	3250347	67.29244721885163	4830181	RS_GCF_000348785.1	t	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter_A;s__Ilumatobacter_A coccineus	type strain of species	LPSN	f	1	1	4830181	4830181	4830181	2	3060	NC_020520.1	4830181	2	110	NC_020520.1	3059	5650	0	100	AP012057.2927237.2930300	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter coccineus YM16-304	4830181	4830181	t	f	f	4830181	4830181	Complete Genome	ASM34878v1	na	PRJNA224116	SAMD00060985	none	none	none	2013-03-15	GCA_000348785.1	none	full	na	none	none	1	0	Ilumatobacter coccineus YM16-304	none	representative genome	6	1	1	4830181	4830181	4830181	2013/03/15	0	467094	2	YM16-304	National Institute of Technology and Evaluation	1313172	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter coccineus	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter coccineus;x__Ilumatobacter coccineus YM16-304	0	4830181	11	46	assembly from type material	4830181	0	na	4250	1	4830181	2	none	none	none	none	none	none	1518	NC_020520.1	1514	2796	0	100	AP012057.2930700.2932220	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter coccineus YM16-304	0	19	46	1
RS_GCF_019364615.1	0	100.0	0.12	Specific	99.68	1.35	813	o__Pseudomonadales (UID4488)	308	0.0	6110877	88.87702900698609	2	4511706	65.61857242961906	6875654	RS_GCF_001457615.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	not type material	none	f	1	1	6388691	6388691	6388691	4	2887	NZ_CP061376.1	6388691	4	110	NZ_CP061376.1	2887	5332	0	100	LLMO01000032.2335.5246	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	3437827	3437827	t	f	f	6388691	6388691	Complete Genome	ASM1936461v1	na	PRJNA224116	SAMN14889916	none	none	China: Shanghai	2021-07-23	GCA_019364615.1	none	full	na	urine	none	2	1	Pseudomonas aeruginosa	none	na	12	2	1	6388691	6388691	6388691	2021/07/23	0	287	4	HS17-127	Fudan University	287	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas aeruginosa	0	6875654	11	64	na	6875654	0	na	6369	2	6388691	4	none	none	none	none	none	none	1532	NZ_CP061376.1	1532	2830	0	100	CP031660.6281927.6283463	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	0	19	64	1
GB_GCA_017569265.1	0	97.49	1.64	General	96.85	0.7	250	o__Clostridiales (UID1120)	143	0.0	3142745	89.60352284747347	1	1866409	53.21361468214256	3507390	GB_GCA_017569305.1	f	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900322155	not type material	none	f	1	1	3507390	3507390	3507390	3	2896	CP069593.1-#3	3507390	3	111	CP069593.1	2794	4614	0	96.492	KC246835.11220.14009	Bacteria;Firmicutes;Clostridia;DTU072;uncultured bacterium Contig11	3507390	3507390	t	f	f	3507390	3507390	Complete Genome	ASM1756926v1	na	PRJNA695064	SAMN17600269	none	none	New Zealand: Hamilton	2021-03-23	GCA_017569265.1	none	full	na	Bovine rumen	37.78333 S 175.28333 E	1	0	Clostridiales bacterium FE2010	none	na	9	1	1	3507390	3507390	3507390	2021/03/23	0	2806336	3	FE2010	AgResearch Ltd	2806336	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium FE2010	0	3507390	11	48	na	3507390	0	na	3101	1	3507390	3	none	none	none	none	none	none	1540	CP069593.1	1539	2769	0	99.155	AB824412.1.1539	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;uncultured bacterium	0	19	49	0
RS_GCF_000227665.2	0	100.0	0.02	Specific	100.0	0.0	261	p__Proteobacteria (UID3880)	164	0.0	2012321	93.23384108019101	1	990950	45.91219532987793	2158359	RS_GCF_000227665.2	t	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Thiomicrospira;s__Thiomicrospira aerophila	type strain of species	LPSN	f	1	1	2158359	2158359	2158359	2	2855	NZ_CP007030.1	2158359	2	111	NZ_CP007030.1	2855	5273	0	100	CP007030.1314525.1317403	Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;Thioalkalimicrobium;Thiomicrospira aerophila AL3	2158359	2158359	t	f	f	2158359	2158359	Complete Genome	ASM22766v3	na	PRJNA224116	SAMN02256538	none	none	none	2014-01-03	GCA_000227665.3	none	full	na	not provided; submitted under MIGS 2.1	none	1	0	Thiomicrospira aerophila AL3	2044	representative genome	6	1	1	2158359	2158359	2158359	2014/01/03	0	92245	2	AL3	DOE Joint Genome Institute	717772	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Thiomicrospira;s__Thiomicrospira aerophila	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Thiomicrospira;s__Thiomicrospira aerophila;x__Thiomicrospira aerophila AL3	0	2158359	11	41	assembly from type material	2158359	0	na	2054	1	2158359	2	none	none	none	none	none	none	1537	NZ_CP007030.1	1537	2839	0	100	CP007030.304623.306164	Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;Thioalkalimicrobium;Thiomicrospira aerophila AL3	0	19	41	0
RS_GCF_018732145.1	0	100.0	2.52	General	99.48	1.3	329	o__Actinomycetales (UID1697)	192	0.0	4952544	91.72808056367307	1	3883032	71.91921407004574	5399158	RS_GCF_014191495.1	f	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides soli	not type material	none	f	1	1	5399158	5399158	5399158	2	3151	NZ_CP076104.1	5399158	2	110	NZ_CP076104.1	3163	4889	0	94.752	LMIN01000013.196075.199221	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides sp. Root224	5399158	5399158	t	f	f	5399158	5399158	Complete Genome	ASM1873214v1	na	PRJNA224116	SAMN19433680	none	none	China: anhui	2021-06-07	GCA_018732145.1	none	full	na	sludge	none	1	0	Nocardioides sp. LMS-CY	none	na	6	1	1	5399158	5399158	5399158	2021/06/07	0	2840457	2	LMS-CY	Nanjing Agricultural University	2840457	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;x__unclassified Nocardioides;s__Nocardioides sp. LMS-CY	0	5399158	11	47	na	5399158	0	na	5039	1	5399158	2	none	none	none	none	none	none	1524	NZ_CP076104.1	1485	2726	0	99.798	JF937914.1.1485	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides soli	0	19	47	1
